Area,Year,Value_Tonnes
Kazakhstan,2016,188099
Kazakhstan,2017,181057
Kazakhstan,2018,222482
Kazakhstan,2019,216540
Kazakhstan,2020,259128
Kenya,2010,1195
Kenya,2011,779
Kenya,2012,1128
Kenya,2013,396
Kenya,2014,606
Kenya,2015,589
Kenya,2016,623
Kenya,2017,300
Kenya,2018,426
Kenya,2019,261
Kenya,2020,106
Kyrgyzstan,2010,111000
Kyrgyzstan,2011,127700
Kyrgyzstan,2012,137000
Kyrgyzstan,2013,143000
Kyrgyzstan,2014,145000
Kyrgyzstan,2015,128000
Kyrgyzstan,2016,140176
Kyrgyzstan,2017,137725
Kyrgyzstan,2018,135301
Kyrgyzstan,2019,137734
Kyrgyzstan,2020,136920
Latvia,2010,10325
Latvia,2011,7501
Latvia,2012,9449
Latvia,2013,14751
Latvia,2014,9623
Latvia,2015,7815
Latvia,2016,9854
Latvia,2017,7464
Latvia,2018,13900
Latvia,2019,10390
Latvia,2020,13900
Lebanon,2010,154429
Lebanon,2011,135807
Lebanon,2012,125714
Lebanon,2013,126485
Lebanon,2014,180565
Lebanon,2015,210424
Lebanon,2016,344469
Lebanon,2017,316155
Lebanon,2018,278539
Lebanon,2019,252758
Lebanon,2020,245152
Libya,2010,22000
Libya,2011,20500
Libya,2012,20500
Libya,2013,20500
Libya,2014,17460
Libya,2015,14129
Libya,2016,17363
Libya,2017,16317
Libya,2018,15936
Libya,2019,16539
Libya,2020,16264
Lithuania,2010,34020
Lithuania,2011,49099
Lithuania,2012,72497
Lithuania,2013,62586
Lithuania,2014,60177
Lithuania,2015,73583
Lithuania,2016,65579
Lithuania,2017,87367
Lithuania,2018,80680
Lithuania,2019,32070
Lithuania,2020,51880
Luxembourg,2010,2406
Luxembourg,2011,2130
Luxembourg,2012,1816
Luxembourg,2013,1926
Luxembourg,2014,2615
Luxembourg,2015,2419
Luxembourg,2016,1510
Luxembourg,2017,983
Luxembourg,2018,2080
Luxembourg,2019,1930
Luxembourg,2020,2320
Madagascar,2010,7037
Madagascar,2011,7030
Madagascar,2012,7000
Madagascar,2013,6900
Madagascar,2014,6971
Madagascar,2015,7119
Madagascar,2016,7145
Madagascar,2017,7115
Madagascar,2018,7100
Madagascar,2019,7108
Madagascar,2020,7115
Malawi,2010,0
Malawi,2011,0
Malawi,2012,0
Malawi,2013,0
Malawi,2014,3203
Malawi,2015,3308
Malawi,2016,3313
Malawi,2017,3447
Malawi,2018,2639
Malawi,2019,2979
Malawi,2020,3132
Malta,2010,51
Malta,2011,42
Malta,2012,27
Malta,2013,35
Malta,2014,39
Malta,2015,28
Malta,2016,16
Malta,2017,21
Malta,2018,20
Malta,2019,10
Malta,2020,10
Mexico,2010,584655
Mexico,2011,630533
Mexico,2012,375045
Mexico,2013,858608
Mexico,2014,716865
Mexico,2015,750325
Mexico,2016,716931
Mexico,2017,714149
Mexico,2018,659692
Mexico,2019,761483
Mexico,2020,714203
Montenegro,2010,2116
Montenegro,2011,2651
Montenegro,2012,2027
Montenegro,2013,2518
Montenegro,2014,2656
Montenegro,2015,2817
Montenegro,2016,1638
Montenegro,2017,1347
Montenegro,2018,1688
Montenegro,2019,1490
Montenegro,2020,1714
Morocco,2010,444861
Morocco,2011,512407
Morocco,2012,485642
Morocco,2013,583230
Morocco,2014,536199
Morocco,2015,674153
Morocco,2016,406379
Morocco,2017,820547
Morocco,2018,696950
Morocco,2019,809762
Morocco,2020,778866
Nepal,2010,41754
Nepal,2011,42704
Nepal,2012,48946
Nepal,2013,42814
Nepal,2014,35921
Nepal,2015,43502
Nepal,2016,41011
Nepal,2017,19850
Nepal,2018,28895
Nepal,2019,31386
Nepal,2020,45205
Netherlands,2010,334000
Netherlands,2011,418000
Netherlands,2012,281000
Netherlands,2013,314000
Netherlands,2014,353000
Netherlands,2015,336000
Netherlands,2016,317000
Netherlands,2017,227000
Netherlands,2018,269100
Netherlands,2019,273000
Netherlands,2020,220000
New Zealand,2010,444154
New Zealand,2011,439418
New Zealand,2012,437107
New Zealand,2013,444178
New Zealand,2014,490000
New Zealand,2015,540000
New Zealand,2016,550000
New Zealand,2017,470000
New Zealand,2018,480000
New Zealand,2019,557680
New Zealand,2020,562058
North Macedonia,2010,121383
North Macedonia,2011,124552
North Macedonia,2012,127171
North Macedonia,2013,112929
North Macedonia,2014,95684
North Macedonia,2015,136931
North Macedonia,2016,101088
North Macedonia,2017,43366
North Macedonia,2018,140296
North Macedonia,2019,88701
North Macedonia,2020,105794
Norway,2010,11491
Norway,2011,8469
Norway,2012,10976
Norway,2013,9769
Norway,2014,13322
Norway,2015,10800
Norway,2016,12522
Norway,2017,12664
Norway,2018,14878
Norway,2019,15593
Norway,2020,12050
Pakistan,2010,525855
Pakistan,2011,598804
Pakistan,2012,556307
Pakistan,2013,606016
Pakistan,2014,616748
Pakistan,2015,620481
Pakistan,2016,669912
Pakistan,2017,564693
Pakistan,2018,543645
Pakistan,2019,603922
Pakistan,2020,625372
Palestine,2010,490
Palestine,2011,833
Palestine,2012,910
Palestine,2013,1005
Palestine,2014,1250
Palestine,2015,800
Palestine,2016,860
Palestine,2017,919
Palestine,2018,932
Palestine,2019,937
Palestine,2020,939
Paraguay,2010,690
Paraguay,2011,697
Paraguay,2012,705
Paraguay,2013,710
Paraguay,2014,714
Paraguay,2015,614
Paraguay,2016,679
Paraguay,2017,669
Paraguay,2018,654
Paraguay,2019,667
Paraguay,2020,663
Peru,2010,143861
Peru,2011,149561
Peru,2012,146774
Peru,2013,156350
Peru,2014,159879
Peru,2015,159550
Peru,2016,158098
Peru,2017,149787
Peru,2018,140571
Peru,2019,144868
Peru,2020,139392
Poland,2010,1877906
Poland,2011,2493078
Poland,2012,2877336
Poland,2013,3085074
Poland,2014,3195299
Poland,2015,3168818
Poland,2016,3604271
Poland,2017,2441393
Poland,2018,3999520
Poland,2019,3080600
Poland,2020,3554300
Portugal,2010,212902
Portugal,2011,247229
Portugal,2012,220761
Portugal,2013,287314
Portugal,2014,273721
Portugal,2015,324994
Portugal,2016,241611
Portugal,2017,329371
Portugal,2018,263960
Portugal,2019,370710
Portugal,2020,286080
Republic of Korea,2010,460285
Republic of Korea,2011,379541
Republic of Korea,2012,394596
Republic of Korea,2013,493701
Republic of Korea,2014,474712
Republic of Korea,2015,582846
Republic of Korea,2016,576369
Republic of Korea,2017,545349
Republic of Korea,2018,475303
Republic of Korea,2019,535324
Republic of Korea,2020,422115
Republic of Moldova,2010,207903
Republic of Moldova,2011,268842
Republic of Moldova,2012,281849
Republic of Moldova,2013,307246
Republic of Moldova,2014,370024
Republic of Moldova,2015,307660
Republic of Moldova,2016,411768
Republic of Moldova,2017,487161
Republic of Moldova,2018,665184
Republic of Moldova,2019,610921
Republic of Moldova,2020,480368
Romania,2010,552860
Romania,2011,620362
Romania,2012,462935
Romania,2013,513580
Romania,2014,513195
Romania,2015,476059
Romania,2016,467259
Romania,2017,348656
Romania,2018,634770
Romania,2019,492700
Romania,2020,537470
Russian Federation,2010,992000
Russian Federation,2011,1198000
Russian Federation,2012,1403000
Russian Federation,2013,1573000
Russian Federation,2014,1624000
Russian Federation,2015,1612700
Russian Federation,2016,1701100
Russian Federation,2017,1493600
Russian Federation,2018,1859400
Russian Federation,2019,1950800
Russian Federation,2020,2040700
Saint Vincent and the Grenadines,2010,1058
Saint Vincent and the Grenadines,2011,1210
Saint Vincent and the Grenadines,2012,1196
Saint Vincent and the Grenadines,2013,1149
Saint Vincent and the Grenadines,2014,990
Saint Vincent and the Grenadines,2015,1021
Saint Vincent and the Grenadines,2016,1046
Saint Vincent and the Grenadines,2017,1774
Saint Vincent and the Grenadines,2018,1826
Saint Vincent and the Grenadines,2019,1482
Saint Vincent and the Grenadines,2020,1500
Serbia,2010,239945
Serbia,2011,265576
Serbia,2012,243987
Serbia,2013,458409
Serbia,2014,336313
Serbia,2015,431759
Serbia,2016,400473
Serbia,2017,378644
Serbia,2018,460404
Serbia,2019,499578
Serbia,2020,489426
Slovakia,2010,34215
Slovakia,2011,31355
Slovakia,2012,44481
Slovakia,2013,45949
Slovakia,2014,48494
Slovakia,2015,46250
Slovakia,2016,20722
Slovakia,2017,32478
Slovakia,2018,43930
Slovakia,2019,35190
Slovakia,2020,28430
Slovenia,2010,117569
Slovenia,2011,105355
Slovenia,2012,55300
Slovenia,2013,92449
Slovenia,2014,99834
Slovenia,2015,115091
Slovenia,2016,59573
Slovenia,2017,80000
Slovenia,2018,86590
Slovenia,2019,54270
Slovenia,2020,66670
South Africa,2010,724232
South Africa,2011,781124
South Africa,2012,795758
South Africa,2013,903843
South Africa,2014,777741
South Africa,2015,934375
South Africa,2016,916143
South Africa,2017,929028
South Africa,2018,829636
South Africa,2019,891979
South Africa,2020,992975
Spain,2010,645918
Spain,2011,670264
Spain,2012,481223
Spain,2013,546400
Spain,2014,620823
Spain,2015,593592
Spain,2016,621164
Spain,2017,587034
Spain,2018,562960
Spain,2019,638840
Spain,2020,522100
Sweden,2010,23500
Sweden,2011,20684
Sweden,2012,23390
Sweden,2013,27400
Sweden,2014,24580
Sweden,2015,25350
Sweden,2016,26280
Sweden,2017,22130
Sweden,2018,30610
Sweden,2019,22210
Sweden,2020,29360
Switzerland,2010,201641
Switzerland,2011,327500
Switzerland,2012,233556
Switzerland,2013,210129
Switzerland,2014,231343
Switzerland,2015,214250
